date,ANUP,ISGEC,PRAJIND,GMMPFAUDLR,THERMAX,PATELSAI
2026-07-31,2172.9,825.95,311.9,864.4,4306.0,336.4
2026-08-03,2175.4,838.95,315.05,858.45,4122.2,336.3
2026-08-04,2189.5,832.35,318.75,847.7,4015.0,332.9
2026-08-05,2214.0,830.95,317.75,857.1,4064.9,331.75
2026-08-06,2027.9,829.35,321.35,1005.15,4005.0,336.5
2026-08-07,1896.0,814.7,325.05,987.3,4059.9,335.1
2026-08-10,1866.8,807.55,327.65,993.6,4052.2,301.6
2026-08-11,1907.9,806.95,329.9,1003.8,4025.7,271.45
2026-08-12,1870.1,746.3,324.35,997.3,4083.3,281.05
2026-08-13,1861.0,744.65,321.55,1012.9,4001.6,287.5
2026-08-14,1852.8,732.15,335.25,1048.25,4044.9,280.95
2026-08-17,1834.5,746.85,334.05,1056.55,4141.4,281.7
2026-08-18,1825.2,782.2,336.5,1031.25,4079.9,297.5
2026-08-19,1804.8,756.6,340.5,1019.85,4025.5,289.7
2026-08-20,1811.8,761.75,358.45,1018.2,4034.0,285.3
2026-08-21,1808.9,755.1,344.35,1022.35,3967.8,283.5
2026-08-24,1789.6,783.3,352.65,989.3,3984.2,284.95
2026-08-25,1772.4,764.05,347.8,1004.9,3999.8,291.75
2026-08-26,1786.2,769.3,350.25,1017.4,3968.5,293.95
2026-08-27,1801.3,780.4,354.4,1025.15,3962.7,276.55
2026-08-28,1800.5,789.05,347.9,1026.7,3944.2,288.7
2026-08-31,1793.5,790.65,343.9,1042.45,3901.6,285.25
2026-09-01,1810.2,778.25,340.3,1083.8,3913.2,288.3
2026-09-02,1799.8,777.55,334.5,1070.0,3752.5,278.85
2026-09-03,1808.0,771.1,341.6,1073.5,3733.9,274.35
2026-09-04,1785.8,787.35,335.55,1147.9,3637.6,279.75
2026-09-07,1770.6,781.1,336.55,1235.7,3622.0,273.45
2026-09-08,1725.6,782.4,338.85,1285.2,3629.6,278.85
2026-09-09,1744.5,784.55,326.7,1305.4,3638.6,272.45
2026-09-10,1719.4,810.15,326.85,1319.2,3645.4,274.3
